Subject,Part,Medium,Link
Mathematics,Part 1,English,https://drive.google.com/file/d/1dNbtr2j4xUHs0iG94-PX1r4iESHFP--P/view?usp=drive_link
Mathematics,Part 2,English,https://drive.google.com/file/d/1jHA7HheKazP7NjkE1UVKAeuQvTla0wjx/view?usp=sharing
Physics,Part 1,English,https://drive.google.com/file/d/19wVynWQkm8KyN1-gzXlSNWYu47zQrs6t/view?usp=drive_link
Physics,Part 2,English,https://drive.google.com/file/d/11gEsrB0pz7i8gth3Nz_-MW-IRrZFq2sT/view?usp=sharing
Chemistry,Part 1,English,https://drive.google.com/file/d/1Tyhu-EMIzCiDStubwC4Ek4kw7rpOaxUQ/view?usp=drive_link
Chemistry,Part 2,English,https://drive.google.com/file/d/1ROPMyVCuDMz51phmNHb2GKrww2CEUUMC/view?usp=sharing
Biology,Part 1,English,https://drive.google.com/file/d/15sowMSL8m25cMTsgl-Qx7__IF9HNIPzl/view?usp=drive_link
Biology,Part 2,English,https://drive.google.com/file/d/1t9sxaIdYTray3SNdauNukDaXJAJV-kaA/view?usp=sharing
Social Science I,Part 1,English,https://drive.google.com/file/d/1jy-kcQon8yI6ZE-3vQ9mWU4WxSiolqj2/view?usp=drive_link
Social Science I,Part 2,English,https://drive.google.com/file/d/1nqy5984OwNaPCAU8dsKsizi3B8MeD2xH/view?usp=sharing
Social Science II,Part 1,English,https://drive.google.com/file/d/1OKFK1z1tmp3BwjB0EeQlb_3cQ4-xPNJx/view?usp=drive_link
Social Science II,Part 2,English,https://drive.google.com/file/d/1pmdRpTo63B31TisfLfIY9Site4Ye1ZMH/view?usp=sharing
English,Part 1,English,https://drive.google.com/file/d/1yflcilk0slve1ZqGvq9SDVsiH2iRUqBF/view?usp=drive_link
English,Part 2,English,https://drive.google.com/file/d/1_LbgLjbV2TwANumF7uGVMdf0wQHLxGUj/view?usp=sharing
Hindi,—,English,https://drive.google.com/file/d/1KS2ngd0GBuG3c1m0tTHJij0IszQLeFWj/view?usp=drive_link
